Timer,State,InteractionTorque,Angle,MotorTorque,HumanTorque
0.033448303,flexion,-3.900372401956611,14.924428341622681,-5.0,-19.53223785337914
0.066818218,flexion,-6.46961388797324,14.546844403701266,-5.0,-15.890087746686628
0.100317157,flexion,-6.739451255939559,13.147718308407402,-5.0,-14.27007432664806
0.133486771,flexion,-7.004105167529103,11.317302410890976,-5.0,-11.628856275096553
0.166733943,flexion,-7.086662166154692,9.31640114928689,-5.0,-8.432730489044928
0.200266696,flexion,-7.061400896000751,7.327075276800456,-5.0,-4.149110593406263
0.233418487,flexion,-6.920474543550067,5.533013929670807,-5.0,-0.6869059480386213
0.266718608,flexion,-6.6515092519634695,4.108121267360224,-5.0,1.9957125206703452
0.3000815,flexion,-6.456637193038021,3.1408457487764023,-5.0,3.05653901830129
0.333476391,flexion,-6.266639073271142,2.5937753602454063,-5.0,3.25206547502186
0.366839142,flexion,-3.742887201340414,2.8347558885464217,-5.0,5.3430704148522805
0.400244193,flexion,-3.4350524511986156,3.725944325076189,-5.0,6.940943086073817
0.433489401,flexion,-3.1386421417274355,5.230957603026601,-5.0,7.05505239957623
0.46684057,flexion,-2.854147058944392,7.236952080798649,-5.0,7.582155531072231
0.500310604,flexion,-4.408555907295565,9.768227865722675,-5.0,7.52927616103799
0.533446614,flexion,-17.69925966867547,12.62533760951678,-5.0,6.866781094963952
0.56695427,flexion,-3.0528017597084105,15.89836708932884,-5.0,6.172711476732148
0.600271134,flexion,-2.2016577624462963,19.310340022709788,-5.0,5.153971182794388
0.633455967,flexion,-2.112723686845338,22.76761287110783,-5.0,4.004824388598306
0.666873191,flexion,-2.0287534311614532,26.444654994620656,-5.0,2.8919826388810232
0.700164977,flexion,-1.9690543282971718,30.246435087883054,-5.0,2.5432506312217003
0.73344989,flexion,-1.911498390497055,34.289836029366896,-5.0,2.8076788067199967
0.76679088,flexion,10.602657744632868,38.093576050799456,-5.0,1.8790444882185904
0.80049086,flexion,-2.057750770844139,41.69732838999747,-5.0,0.3466847185256876
0.833482808,flexion,21.43948470091212,44.62638684312175,-5.0,-0.7052770170642573
0.866876397,flexion,-2.24187226515583,48.11717964871453,-5.0,-1.8920255350032122
0.9001348,flexion,-2.3835225071364983,51.24163622981482,-5.0,-2.8286420433457664
