,Unnamed: 0,State,Angle,Range_0,Range_1,New_Range_0,New_Range_1,Filtered_New_Range_0,Filtered_New_Range_1,Angle_int,Motion
103,103,Extension,123,-0.298636844,-2.044359612,13.70136316,-2.044359612,-0.896567504,-2.97056268,123,75.856
104,104,Extension,126,-0.271127103,-2.07818404,13.7288729,-2.07818404,-0.909885977,-2.667432259,126,77.149
105,105,Extension,129,-0.508099186,-2.036027435,13.49190081,-2.036027435,-0.92755126,-2.347009654,129,78.442
106,106,Extension,130,-0.277150624,-0.703176788,13.72284938,-0.703176788,-0.808227362,-2.291590382,130,78.873
107,107,Extension,132,0.170032959,-2.781769717,14.17003296,-2.781769717,-0.599803133,-2.472180072,132,79.735
108,108,Extension,133,-0.26670441,-1.678025246,13.73329559,-1.678025246,-0.428502248,-2.607216472,133,80.166
109,109,Extension,136,0.166195956,-1.862893757,14.16619596,-1.862893757,-0.389197686,-2.646934799,136,81.459
110,110,Extension,139,0.022930763,-1.793046566,14.02293076,-1.793046566,-0.607719207,-2.685215732,139,82.752
111,111,Extension,142,-0.204717261,-2.45398572,13.79528274,-2.45398572,-0.960863151,-2.615249493,142,84.045
112,112,Extension,143,-0.45762233,-1.251428627,13.54237767,-1.251428627,-1.004329667,-2.413472494,143,84.476
113,113,Extension,145,0.315105981,-2.039504092,14.31510598,-2.039504092,-0.652329527,-2.283506338,145,85.338
114,114,Extension,146,0.487620872,-1.614075579,14.48762087,-1.614075579,-0.332596539,-2.285471924,146,85.769
115,115,Extension,149,0.243023865,-1.558123148,14.24302387,-1.558123148,-0.164466473,-2.276761342,149,87.062
116,116,Extension,152,0.634018504,-1.640753195,14.6340185,-1.640753195,0.093190123,-2.211278979,152,88.355
117,117,Extension,153,0.766346624,-0.979476166,14.76634662,-0.979476166,0.330863488,-2.168635356,153,88.786
118,118,Extension,155,0.806106227,-2.022208285,14.80610623,-2.022208285,0.282529318,-2.09911204,155,89.648
119,119,Extension,156,0.434518738,-1.288602712,14.43451874,-1.288602712,0.084210008,-1.891922504,156,90.079
120,120,Extension,158,0.713489158,-0.553562128,14.71348916,-0.553562128,0.019110601,-1.702914721,158,90.941
121,121,Extension,159,0.600218562,-1.346935475,14.60021856,-1.346935475,0.095831342,-1.727777612,159,91.372
122,122,Extension,162,0.461276448,-1.202664157,14.46127645,-1.202664157,0.222561265,-1.833334874,162,92.665
123,123,Extension,165,0.3502929,-1.214684668,14.3502929,-1.214684668,0.439594333,-1.80936186,165,93.958
124,124,Extension,166,0.858694,-0.947009431,14.858694,-0.947009431,0.686768429,-1.660855812,166,94.389
125,125,Extension,168,0.888111626,-0.633964722,14.88811163,-0.633964722,0.74922163,-1.464849838,168,95.251
126,126,Extension,169,0.557878741,-0.882959543,14.55787874,-0.882959543,0.628785263,-1.160172907,169,95.682
127,127,Extension,171,0.294457247,-0.481242583,14.29445725,-0.481242583,0.49954917,-0.68845617,171,96.544
