time_step,sensor_position,sensor_force
0,179.1129308383659,0.020405966202824047
1,177.95285871633985,0.2059853762208441
2,176.99923179755407,0.19108327628269398
3,176.44813670467195,0.024704427568022155
4,176.0578576810145,-0.3436134181961719
5,175.32525370166044,0.27902283622707785
6,174.7107964212047,0.3469151566708701
7,174.50919531193514,-0.21362118482166073
8,174.11593921787625,0.2369584332233874
9,173.74580954936764,0.01898311950522085
10,173.57887169651605,-0.10232455506943061
11,173.20796285454855,0.13749502455487597
12,173.0322161047157,-0.11952028640693425
13,172.71332233756905,0.08423850159898214
14,172.54129238185578,0.029430051155621095
15,172.31688625725363,-0.02266897009331796
16,172.18009798437782,0.03618362651412864
17,172.03103620580436,-0.21295379843823245
18,171.80310690717684,0.04626111015971727
19,171.60931899728416,-0.056647627291989036
20,171.5277730016798,-0.14689120570512557
21,171.37197864611167,-0.09707401452648169
22,171.19657206724335,-0.07448818276606241
23,171.03802751184642,-0.0844068544817193
24,170.88382622390353,-0.10493915118169198
25,170.72969237052797,-0.1304985446536963
26,170.57826520168587,-0.1648784405818711
27,170.42639163236694,-0.2078708818447974
28,170.26120224346195,-0.2512037271366732
29,170.05180367731805,-0.2822798683617313
30,169.7869684873291,-0.3018183793312722
31,169.471711818483,-0.31669454009468617
32,169.11176882549822,-0.3342807602785809
33,168.70852658544183,-0.3591845457420796
34,168.25808498313518,-0.3928150227198035
35,167.7532127050653,-0.43234348865052213
36,167.18605114004464,-0.47540607725538253
37,166.54878403047042,-0.5194354310603029
38,165.83459249101756,-0.5632010011705103
39,165.03772725125415,-0.6081880236688013
40,164.1523912934756,-0.6544387217716084
41,163.17326194697915,-0.7054644033713915
42,162.09315854609707,-0.7614914333983313
43,160.90538049052054,-0.8239795188335174
44,159.60214952769553,-0.8931309274848533
45,158.17663488411375,-0.9635313444803315
46,156.62915827254764,-1.0333936983462393
47,154.96383348260463,-1.0993705037797656
48,153.18763456461164,-1.1613739486409873
49,151.30490210679648,-1.2220476047827782
50,149.31444430671974,-1.2838323545077237
51,147.21165760427925,-1.3470611262336227
52,144.99321789340516,-1.410020015011371
53,142.66026438888983,-1.4707665531914735
54,140.2179094354742,-1.5288024211171347
55,137.6721491927688,-1.5849578034002616
56,135.02749005208165,-1.639910983542894
57,132.28732468564877,-1.692904890704412
58,129.4560687637732,-1.7421062575583324
59,126.54090448954642,-1.7843407078858948
60,123.5543074354733,-1.8166479519884426
61,120.51270838256191,-1.8341150573537275
62,117.43763297581562,-1.833033908978343
63,114.36238564009554,-1.8193984065432822
64,111.32680282363083,-1.796255679028705
65,108.34177183652032,-1.7579656831280368
66,105.42909851347035,-1.7075847743988852
67,102.6081402412488,-1.6481640003327411
68,99.8947660385848,-1.5810727420844788
69,97.30268858336204,-1.5082084003666305
70,94.84222683804927,-1.431840105440833
71,92.52022931894471,-1.354034231512144
72,90.34000255460711,-1.2768335022724266
73,88.3007094467554,-1.2020690040559474
74,86.39725084428747,-1.1308744981526497
75,84.62200659355626,-1.0623602267659258
76,82.9681687993527,-0.9957892503461475
77,81.43025921356814,-0.9317607836744963
78,80.0034498794786,-0.8714206794213583
79,78.68314698014426,-0.8152988317650262
80,77.46362877601808,-0.7635519038511349
81,76.33666918212283,-0.7152794424404205
82,75.29355715016011,-0.6706082396101862
83,74.32702481657303,-0.6301284404199318
84,73.43183943842537,-0.5936737595475953
85,72.60201715962494,-0.5601531682163523
86,71.8303895379493,-0.5290017858636611
87,71.11244470672581,-0.5001983306560437
88,70.44594114961214,-0.47395746486986734
89,69.82596633253746,-0.44913712157074315
90,69.24841169755243,-0.4270507121734216
91,68.70971893713285,-0.4068227894902599
92,68.20778402009735,-0.3860835908229019
93,67.74104843772326,-0.36860874073697447
94,67.30543165494808,-0.35185132716071443
95,66.89996468734802,-0.3347029814301111
96,66.52349654719366,-0.32105701525576574
97,66.1718312121595,-0.30709809437007335
98,65.84426084766176,-0.29412081520234173
99,65.53983147139026,-0.2821603259472721
